Reg,Regulator,TargetGene,Weight,Module,RegulatorBiotype,TargetBiotype
YEL008C-A_YDL232W,YEL008C-A,YDL232W,0.13628101831259,2,protein_coding,protein_coding
YEL008C-A_YJR151W-A,YEL008C-A,YJR151W-A,0.148614302469537,2,protein_coding,protein_coding
YKL156C-A_snR79,YKL156C-A,snR79,0.181074481602116,2,protein_coding,snoRNA
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.143053259800506,2,tRNA,protein_coding
tV(AAC)O_YJR151W-A,tV(AAC)O,YJR151W-A,-0.120551531572277,2,tRNA,protein_coding
tV(AAC)O_snR79,tV(AAC)O,snR79,-0.202607596656096,2,tRNA,snoRNA
YDL184C_tV(AAC)O,YDL184C,tV(AAC)O,0.103701832588768,2,protein_coding,tRNA
YDL133C-A_snR79,YDL133C-A,snR79,0.136074369046222,2,protein_coding,snoRNA
YMR272W-A_snR77,YMR272W-A,snR77,0.142938482240975,2,protein_coding,snoRNA
YMR272W-A_tV(AAC)O,YMR272W-A,tV(AAC)O,0.102478395550307,2,protein_coding,tRNA
YMR272W-A_YJR151W-A,YMR272W-A,YJR151W-A,-0.133959795680459,2,protein_coding,protein_coding
snR67_snR79,snR67,snR79,0.153481161110071,2,snoRNA,snoRNA
YJR151W-A_snR77,YJR151W-A,snR77,-0.202523023475656,2,protein_coding,snoRNA
YJR151W-A_YDL232W,YJR151W-A,YDL232W,0.215198884858934,2,protein_coding,protein_coding
YJR151W-A_YEL008C-A,YJR151W-A,YEL008C-A,0.143059590085612,2,protein_coding,protein_coding
YJR151W-A_YPR160W-A,YJR151W-A,YPR160W-A,0.109420012223259,2,protein_coding,protein_coding
YJR151W-A_tV(AAC)O,YJR151W-A,tV(AAC)O,-0.129064779992599,2,protein_coding,tRNA
YJR151W-A_YMR272W-A,YJR151W-A,YMR272W-A,-0.132510632697931,2,protein_coding,protein_coding
YJR151W-A_tR(CCU)J,YJR151W-A,tR(CCU)J,0.109689472864281,2,protein_coding,tRNA
YJR151W-A_snR39B,YJR151W-A,snR39B,0.10286879445496,2,protein_coding,snoRNA
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.167782557321273,2,protein_coding,protein_coding
YBR141W-A_snR79,YBR141W-A,snR79,0.147562310542049,2,protein_coding,snoRNA
YER053C-A_snR77,YER053C-A,snR77,0.104451561884895,2,protein_coding,snoRNA
YER053C-A_YMR272W-A,YER053C-A,YMR272W-A,0.10109281158041,2,protein_coding,protein_coding
snR39_YDL232W,snR39,YDL232W,0.150597434331763,2,snoRNA,protein_coding
snR39_snR18,snR39,snR18,0.115364741371401,2,snoRNA,snoRNA
snR79_YGR068W-A,snR79,YGR068W-A,0.121604160959747,2,snoRNA,protein_coding
snR79_YBL006W-A,snR79,YBL006W-A,0.111155754384497,2,snoRNA,protein_coding
snR79_snR76,snR79,snR76,0.128086385707431,2,snoRNA,snoRNA
snR79_snR66,snR79,snR66,0.127121439467093,2,snoRNA,snoRNA
snR79_YKL156C-A,snR79,YKL156C-A,0.182288235971391,2,snoRNA,protein_coding
snR79_tV(AAC)O,snR79,tV(AAC)O,-0.202663672052784,2,snoRNA,tRNA
snR79_YDL133C-A,snR79,YDL133C-A,0.141559268464438,2,snoRNA,protein_coding
snR79_snR67,snR79,snR67,0.156988560288398,2,snoRNA,snoRNA
snR79_YPL189C-A,snR79,YPL189C-A,0.101296635805649,2,snoRNA,protein_coding
snR79_YMR182W-A,snR79,YMR182W-A,0.112015607400138,2,snoRNA,protein_coding
snR79_YBR141W-A,snR79,YBR141W-A,0.13754845110383,2,snoRNA,protein_coding
snR79_YKL100W-A,snR79,YKL100W-A,0.114917774997654,2,snoRNA,protein_coding
snR79_YLR299C-A,snR79,YLR299C-A,0.109599370442404,2,snoRNA,protein_coding
YEL032C-A_snR18,YEL032C-A,snR18,0.117711618815241,3,protein_coding,snoRNA
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.154576711280539,3,protein_coding,tRNA
YEL032C-A_YMR272W-A,YEL032C-A,YMR272W-A,0.111975251670116,3,protein_coding,protein_coding
YEL032C-A_snR39,YEL032C-A,snR39,0.111725888847584,3,protein_coding,snoRNA
snR77_YMR272W-A,snR77,YMR272W-A,0.138380039397598,3,snoRNA,protein_coding
snR77_YJR151W-A,snR77,YJR151W-A,-0.211452300796171,3,snoRNA,protein_coding
YDL232W_YEL008C-A,YDL232W,YEL008C-A,0.124110085693537,3,protein_coding,protein_coding
YDL232W_YJR151W-A,YDL232W,YJR151W-A,0.201639699458059,3,protein_coding,protein_coding
YDL232W_YBR141W-A,YDL232W,YBR141W-A,0.144858813253887,3,protein_coding,protein_coding
