Reg,Weight,Module,Regulator,TargetGene
lncRNA-rRPPH1_H3C7,0.0233123819473831,L3,lncRNA-rRPPH1,H3C7
RN7SL2_RN7SL1,0.388484107790898,L3,RN7SL2,RN7SL1
RN7SL1_RNU5A-1,0.108842231377128,L3,RN7SL1,RNU5A-1
RN7SL1_SNORD101,0.0196337188838868,L3,RN7SL1,SNORD101
RN7SL1_SNORD102,0.0754219475889243,L3,RN7SL1,SNORD102
RN7SL1_MT-TL1,0.0489926353090328,L3,RN7SL1,MT-TL1
RN7SL1_MT-RNR1,0.0510445609161353,L3,RN7SL1,MT-RNR1
RN7SL1_SNORD26,0.0633165592516595,L3,RN7SL1,SNORD26
RN7SL1_RN7SL3,0.0527348915820834,L3,RN7SL1,RN7SL3
RPS27_RN7SL1,0.0182864992550618,L4,RPS27,RN7SL1
RNU5A-1_ENO1,-0.015975871801755,L4,RNU5A-1,ENO1
RNU5A-1_ACTB,-0.0296097127678657,L4,RNU5A-1,ACTB
RNU5A-1_FTL,-0.0587516129063733,L4,RNU5A-1,FTL
RNU5A-1_RPL6,-0.0165449831475517,L4,RNU5A-1,RPL6
RNU5A-1_RPLP0,-0.0521877656090238,L4,RNU5A-1,RPLP0
RNU5A-1_MYL6,-0.016428057449744,L4,RNU5A-1,MYL6
RNU5A-1_RPS19,-0.0206390543532755,L4,RNU5A-1,RPS19
RNU5A-1_RPL19,-0.0210659192349954,L4,RNU5A-1,RPL19
RNU5A-1_GAPDH,-0.0254287649172027,L4,RNU5A-1,GAPDH
RNU5A-1_RPL24,-0.0202035497137589,L4,RNU5A-1,RPL24
RNU5A-1_RPL23,-0.13391675254722,L4,RNU5A-1,RPL23
RNU5A-1_RPL27,-0.022202960643148,L4,RNU5A-1,RPL27
RNU5A-1_KRT7,-0.0173528412052406,L4,RNU5A-1,KRT7
RNU5A-1_RPS6,-0.0317736135365791,L4,RNU5A-1,RPS6
RNU5A-1_RPS2,-0.0224792431401517,L4,RNU5A-1,RPS2
RNU5A-1_RPS3,-0.0322765330254425,L4,RNU5A-1,RPS3
RNU5A-1_EEF1A1,-0.054461531654794,L4,RNU5A-1,EEF1A1
RNU5A-1_RPS14,-0.0423895216303121,L4,RNU5A-1,RPS14
RNU5A-1_EEF2,-0.0310168620642318,L4,RNU5A-1,EEF2
RNU5A-1_KRT8,-0.0414652700290312,L4,RNU5A-1,KRT8
RNU5A-1_RPS21,-0.023714301281848,L4,RNU5A-1,RPS21
RNU5A-1_RPS7,-0.0486123842196822,L4,RNU5A-1,RPS7
RNU5A-1_RPL4,-0.0353443940077226,L4,RNU5A-1,RPL4
RNU5A-1_RPL15,-0.0214030953080024,L4,RNU5A-1,RPL15
RNU5A-1_ACTG1,-0.0437940735525556,L4,RNU5A-1,ACTG1
RNU5A-1_RPS23,-0.0199817002687399,L4,RNU5A-1,RPS23
RNU5A-1_PPIA,-0.0259390591646991,L4,RNU5A-1,PPIA
RNU5A-1_H4C3,-0.0314289196363456,L4,RNU5A-1,H4C3
RNU5A-1_S100A6,-0.0245629255791618,L4,RNU5A-1,S100A6
RNU5A-1_VTRNA1-1,0.0468038269015209,L4,RNU5A-1,VTRNA1-1
