Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
snR18_YIR044C,0.0,0.0111419679688738,0.0127836960941563,0.0,0.0,0.0156502720078006,0.0120913999948378
snR18_snR40,0.0,0.0530725692505399,0.0661252495509532,0.0,0.0,0.0,0.0
snR18_YMR123W,0.0,0.013248815218935,0.0115048175996666,0.0,0.0,0.0,0.0
snR18_YLR388W,0.0,0.0364692140332725,0.0368514772677329,0.0,0.0,0.0,0.0
snR18_YLR264W,0.0,0.0294980076104796,0.0274293323132633,0.0,0.0,0.0,0.0
snR18_YKR057W,0.0,0.0506502117151066,0.0522569452234525,0.0,0.0,0.0,0.0
snR18_YPL251W,0.0,0.0144604598551133,0.0172942077099191,0.0,0.0,0.0,0.0
snR18_YOL005C,0.0,0.013664858406477,0.0128759698643489,0.0,0.0,0.0,0.0
snR18_YGR064W,0.0,0.0114776527797675,0.0111911070992026,0.0,0.0,0.0,0.0
snR18_YJL136C,0.0,0.0189812739951422,0.0180594470893842,0.0,0.0,0.0,0.0
snR18_YDR115W,0.0,0.0110963495956703,0.0115230965351004,0.0,0.0,0.0,0.0
snR18_YLR390W,0.0,0.0113616502312287,0.0116446661384504,0.0,0.0,0.0,0.0
snR18_YIL059C,0.0,0.0128960561848577,0.0119937214727242,0.0,0.0,0.0,0.0
snR18_snR85,0.0,0.0457622171392914,0.0378977565350857,0.0,0.0,0.0,0.0
snR18_YPL102C,0.0,0.0107459314448452,0.0108897229842119,0.0,0.0,0.0,0.0
snR18_YIL052C,0.0,0.0153361588217026,0.0138367641333383,0.0,0.0,0.0,0.0
snR18_snR62,0.0,0.0178755571489519,0.0182037759197957,0.0,0.0,0.0,0.0
snR18_YPL252C,0.0,0.0139960437551357,0.0134244199966887,0.0,0.0,0.0,0.0
YDL061C_YLR402W,0.0,0.0300451113996721,0.0295481882616921,0.0,0.0,0.0,0.0
YDL061C_YML129C,0.0,0.0395306486771839,0.0449587075900154,0.0434603643248433,0.0,0.0,0.0
YDL061C_snR75,0.0,0.0152806459020171,0.017051432926594,0.0198074224064215,0.0,0.0,0.0
YDL061C_snR13,0.0,0.0122061864292074,0.0120892456800209,0.0133279563150542,0.0,0.0,0.0
YDL061C_YLR185W,0.0,0.01307922421768,0.013160541977815,0.0,0.0,0.0,0.0
YDL061C_YGR105W,0.0,0.0126174997787317,0.0142847599403879,0.0,0.0,0.0,0.0
